#=====================================================
# File created:        Mon-28-Oct-2024-at-01-41-51PM
# Size of lattice:     60x60
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        6.164421
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3632.6056  0.2684 
   00001    0.6786   -5457.6370  0.2568 
   00002    0.6333   -6397.3973  0.2692 
   00003    0.5861   -6973.9317  0.2790 
   00004    0.5619   -7303.5089  0.2840 
   00005    0.5450   -7539.0155  0.2840 
   00006    0.5383   -7781.2172  0.2959 
   00007    0.5358   -7812.5765  0.2974 
   00008    0.5275   -7801.3465  0.3078 
   00009    0.5422   -7873.9718  0.2984 
   00010    0.5053   -8057.6525  0.2953 
   00011    0.5161   -8010.4039  0.3062 
   00012    0.5117   -8023.4804  0.2973 
   00013    0.5275   -7988.9299  0.2945 
   00014    0.4969   -8128.2949  0.2965 
   00015    0.4967   -8162.4057  0.2946 
   00016    0.5206   -8231.7330  0.3144 
   00017    0.4981   -8392.4991  0.3131 
   00018    0.5025   -8398.3742  0.3120 
   00019    0.4994   -8375.7247  0.3198 
   00020    0.4942   -8418.7441  0.3106 
   00021    0.5106   -8381.9712  0.3145 
   00022    0.4811   -8448.8726  0.3048 
   00023    0.5111   -8467.3225  0.3197 
   00024    0.4975   -8412.9264  0.3005 
   00025    0.4839   -8440.9628  0.2980 
   00026    0.5053   -8466.7060  0.2926 
   00027    0.4958   -8400.3851  0.2908 
   00028    0.4917   -8450.9619  0.2799 
   00029    0.4881   -8453.6146  0.2877 
   00030    0.4953   -8388.7715  0.2797 
   00031    0.5097   -8452.4220  0.2936 
   00032    0.4983   -8426.7857  0.2887 
   00033    0.4875   -8349.5650  0.2737 
   00034    0.4942   -8600.4258  0.2664 
   00035    0.5039   -8621.6793  0.2697 
   00036    0.4867   -8656.9294  0.2803 
   00037    0.4789   -8605.2079  0.2786 
   00038    0.4894   -8583.9197  0.2761 
   00039    0.4786   -8635.5439  0.2789 
   00040    0.4922   -8689.7075  0.2759 
   00041    0.4881   -8674.4989  0.2789 
   00042    0.4992   -8620.3382  0.2725 
   00043    0.4958   -8632.8683  0.2790 
   00044    0.4903   -8722.2766  0.2884 
   00045    0.4872   -8666.5511  0.2911 
   00046    0.4939   -8531.0373  0.3021 
   00047    0.4875   -8454.1910  0.2996 
   00048    0.4875   -8457.3459  0.2961 
   00049    0.4947   -8553.6072  0.3047 
   00050    0.4667   -8684.5974  0.3058 
   00051    0.5017   -8532.2060  0.3002 
   00052    0.4772   -8539.9711  0.3006 
   00053    0.4894   -8550.8625  0.3050 
   00054    0.4997   -8565.5691  0.3054 
   00055    0.4894   -8639.8340  0.3214 
   00056    0.4856   -8635.7240  0.3186 
   00057    0.5014   -8564.6158  0.3166 
   00058    0.4983   -8706.7500  0.3174 
   00059    0.4811   -8680.9133  0.3123 
   00060    0.4864   -8652.6978  0.3002 
   00061    0.4831   -8748.3145  0.2996 
   00062    0.4903   -8547.2588  0.2904 
   00063    0.4944   -8598.7140  0.2973 
   00064    0.4836   -8581.5588  0.3054 
   00065    0.4942   -8564.0430  0.3116 
   00066    0.4789   -8604.3541  0.3056 
   00067    0.4947   -8613.0595  0.3024 
   00068    0.4858   -8580.1974  0.3031 
   00069    0.4939   -8555.2631  0.3095 
   00070    0.4825   -8548.9151  0.3085 
   00071    0.4947   -8562.8922  0.3009 
   00072    0.4683   -8686.4424  0.3030 
   00073    0.4892   -8612.4529  0.3030 
   00074    0.4886   -8687.3622  0.3091 
   00075    0.4844   -8746.4517  0.3165 
   00076    0.4681   -8714.1809  0.3093 
   00077    0.4769   -8629.7830  0.3082 
   00078    0.4833   -8672.4545  0.3091 
   00079    0.4992   -8550.3875  0.3065 
   00080    0.5017   -8536.4126  0.3134 
   00081    0.4822   -8533.9391  0.3167 
   00082    0.4856   -8529.5691  0.3160 
   00083    0.4992   -8460.6903  0.3236 
   00084    0.5208   -8329.8762  0.3383 
   00085    0.4872   -8314.9648  0.3338 
   00086    0.5025   -8250.0949  0.3266 
   00087    0.5072   -8314.0988  0.3240 
   00088    0.5017   -8217.5993  0.3331 
   00089    0.5000   -8291.6871  0.3278 
   00090    0.4975   -8506.1242  0.3355 
   00091    0.4947   -8627.1693  0.3331 
   00092    0.4975   -8570.9329  0.3304 
   00093    0.4939   -8537.6826  0.3309 
   00094    0.4944   -8491.6161  0.3283 
   00095    0.4922   -8605.4728  0.3255 
   00096    0.5000   -8646.1565  0.3224 
   00097    0.4844   -8638.0356  0.3279 
   00098    0.4939   -8619.4721  0.3284 
   00099    0.4917   -8495.7223  0.3240 
   00100    0.5081   -8447.0750  0.3228 
