#=====================================================
# File created:        Mon-28-Oct-2024-at-01-42-55PM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.330
# Run time (s):        0.758251
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -459.0885  0.2870 
   00001    0.6650    -621.3410  0.3062 
   00002    0.6300    -704.0755  0.3311 
   00003    0.6250    -817.8236  0.3743 
   00004    0.5450    -905.3948  0.3889 
   00005    0.5500    -987.2987  0.4050 
   00006    0.5625   -1059.6223  0.4428 
   00007    0.5125   -1097.3666  0.4505 
   00008    0.5225   -1127.4870  0.4668 
   00009    0.4900   -1159.3862  0.4853 
   00010    0.5200   -1188.5184  0.4846 
   00011    0.4650   -1232.4790  0.4898 
   00012    0.4925   -1248.8134  0.4941 
   00013    0.4625   -1252.1507  0.5107 
   00014    0.5050   -1269.3006  0.5207 
   00015    0.4600   -1279.1364  0.5262 
   00016    0.4775   -1291.1185  0.5142 
   00017    0.4325   -1303.5533  0.5012 
   00018    0.4325   -1314.6351  0.5142 
   00019    0.5025   -1315.0607  0.5215 
   00020    0.4975   -1335.8847  0.5426 
   00021    0.4725   -1348.4129  0.5335 
   00022    0.4725   -1357.1461  0.5377 
   00023    0.4575   -1355.0176  0.5397 
   00024    0.3900   -1365.1429  0.5373 
   00025    0.4575   -1367.8623  0.5400 
   00026    0.4600   -1379.6839  0.5418 
   00027    0.4275   -1373.4478  0.5380 
   00028    0.4075   -1384.3291  0.5358 
   00029    0.4275   -1391.1258  0.5322 
   00030    0.4250   -1392.0025  0.5367 
   00031    0.4600   -1376.5416  0.5238 
   00032    0.4300   -1379.1548  0.5200 
   00033    0.4450   -1372.0096  0.5205 
   00034    0.4675   -1370.1135  0.5228 
   00035    0.4750   -1372.3059  0.5151 
   00036    0.4600   -1372.6624  0.5114 
   00037    0.4475   -1372.6801  0.5029 
   00038    0.4375   -1371.4235  0.5017 
   00039    0.4575   -1369.2613  0.5007 
   00040    0.4375   -1382.1344  0.5162 
   00041    0.4700   -1388.5291  0.5205 
   00042    0.4100   -1395.8683  0.5279 
   00043    0.4575   -1396.9088  0.5404 
   00044    0.5000   -1376.2799  0.5349 
   00045    0.4225   -1381.1562  0.5339 
   00046    0.4775   -1386.0617  0.5397 
   00047    0.4575   -1379.2143  0.5421 
   00048    0.4775   -1384.9069  0.5491 
   00049    0.4575   -1388.3547  0.5467 
   00050    0.4450   -1386.4294  0.5591 
   00051    0.4625   -1393.7989  0.5542 
   00052    0.4025   -1386.4722  0.5489 
   00053    0.4175   -1400.5961  0.5489 
   00054    0.4825   -1389.6371  0.5514 
   00055    0.4375   -1390.1471  0.5600 
   00056    0.4075   -1394.9591  0.5736 
   00057    0.4825   -1393.3442  0.5859 
   00058    0.4550   -1387.1182  0.5879 
   00059    0.4225   -1396.3336  0.5939 
   00060    0.4475   -1395.2290  0.6055 
   00061    0.4425   -1400.0637  0.6115 
   00062    0.4100   -1397.7592  0.6127 
   00063    0.4775   -1410.4152  0.6158 
   00064    0.4450   -1401.9488  0.6256 
   00065    0.4725   -1401.4249  0.6103 
   00066    0.4625   -1394.9885  0.6155 
   00067    0.4575   -1392.0215  0.6243 
   00068    0.4550   -1396.2910  0.6268 
   00069    0.4550   -1400.1728  0.6261 
   00070    0.4100   -1396.0422  0.6413 
   00071    0.4475   -1394.4211  0.6483 
   00072    0.4450   -1406.4598  0.6497 
   00073    0.4875   -1409.6208  0.6464 
   00074    0.4875   -1407.6735  0.6509 
   00075    0.4775   -1401.9723  0.6478 
   00076    0.4600   -1392.6941  0.6452 
   00077    0.4300   -1401.4977  0.6449 
   00078    0.4150   -1413.6396  0.6435 
   00079    0.4500   -1417.7180  0.6423 
   00080    0.4225   -1413.3450  0.6465 
   00081    0.4425   -1412.5130  0.6301 
   00082    0.4375   -1405.3519  0.6290 
   00083    0.4200   -1404.0929  0.6327 
   00084    0.4225   -1408.1287  0.6281 
   00085    0.4075   -1403.7955  0.6303 
   00086    0.5050   -1399.6952  0.6273 
   00087    0.4525   -1407.3028  0.6353 
   00088    0.4275   -1403.5177  0.6239 
   00089    0.4625   -1393.6966  0.6195 
   00090    0.4450   -1383.5248  0.6214 
   00091    0.4550   -1385.2653  0.6316 
   00092    0.4425   -1384.1704  0.6433 
   00093    0.4500   -1390.5031  0.6508 
   00094    0.4775   -1393.4584  0.6532 
   00095    0.4650   -1394.0765  0.6577 
   00096    0.4025   -1403.1784  0.6514 
   00097    0.4275   -1407.9465  0.6582 
   00098    0.4400   -1402.6970  0.6608 
   00099    0.4075   -1400.6471  0.6657 
   00100    0.4450   -1413.9484  0.6695 
