#=====================================================
# File created:        Mon-28-Oct-2024-at-01-41-32PM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.330
# Run time (s):        0.602938
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -397.5844  0.2571 
   00001    0.6625    -568.0136  0.2591 
   00002    0.6225    -701.8801  0.2671 
   00003    0.6375    -802.9193  0.2606 
   00004    0.5550    -882.5898  0.2690 
   00005    0.5325    -947.8196  0.2763 
   00006    0.5325    -980.9190  0.2713 
   00007    0.5475   -1002.6954  0.2783 
   00008    0.5025   -1047.7663  0.2921 
   00009    0.5400   -1102.4341  0.2987 
   00010    0.4475   -1137.2983  0.2893 
   00011    0.5375   -1167.3780  0.2957 
   00012    0.4800   -1187.2094  0.2872 
   00013    0.5475   -1215.3299  0.2818 
   00014    0.4725   -1254.4628  0.2943 
   00015    0.4650   -1254.0139  0.2796 
   00016    0.4350   -1262.3677  0.2820 
   00017    0.4750   -1283.1513  0.2898 
   00018    0.4575   -1300.2571  0.2886 
   00019    0.4775   -1297.9913  0.2986 
   00020    0.4875   -1309.6480  0.3018 
   00021    0.4575   -1314.0394  0.3168 
   00022    0.4650   -1316.3303  0.3101 
   00023    0.4875   -1326.6558  0.3129 
   00024    0.4825   -1337.1977  0.3263 
   00025    0.4450   -1341.1831  0.3108 
   00026    0.4325   -1348.9532  0.3273 
   00027    0.4850   -1343.7155  0.3327 
   00028    0.4075   -1341.1795  0.3358 
   00029    0.4450   -1334.5292  0.3361 
   00030    0.4800   -1332.1038  0.3492 
   00031    0.4875   -1339.3892  0.3372 
   00032    0.4600   -1332.5691  0.3440 
   00033    0.5025   -1345.8325  0.3451 
   00034    0.4350   -1346.9995  0.3301 
   00035    0.4775   -1356.2744  0.3202 
   00036    0.4400   -1349.4587  0.3382 
   00037    0.4575   -1350.0542  0.3328 
   00038    0.4975   -1334.8408  0.3353 
   00039    0.4400   -1339.5114  0.3545 
   00040    0.4525   -1332.7957  0.3699 
   00041    0.4400   -1335.6573  0.3786 
   00042    0.4875   -1342.9295  0.3699 
   00043    0.4625   -1355.2565  0.3714 
   00044    0.4500   -1352.3085  0.3793 
   00045    0.4350   -1355.3232  0.3863 
   00046    0.4575   -1358.6755  0.3877 
   00047    0.4500   -1352.7178  0.3955 
   00048    0.4675   -1360.7643  0.3964 
   00049    0.4175   -1351.2833  0.4010 
   00050    0.4375   -1358.0517  0.3918 
   00051    0.4600   -1355.2047  0.3926 
   00052    0.4475   -1360.3726  0.4007 
   00053    0.4375   -1358.6931  0.4006 
   00054    0.4600   -1352.5592  0.3960 
   00055    0.4975   -1356.5496  0.3898 
   00056    0.4600   -1357.8271  0.3911 
   00057    0.4650   -1360.6889  0.3991 
   00058    0.4950   -1355.0052  0.3814 
   00059    0.4675   -1349.9141  0.3814 
   00060    0.4450   -1351.9506  0.3724 
   00061    0.4825   -1349.3803  0.3765 
   00062    0.4475   -1344.1924  0.3950 
   00063    0.4900   -1349.4315  0.3920 
   00064    0.4450   -1338.7756  0.3873 
   00065    0.4700   -1348.8686  0.3878 
   00066    0.4625   -1343.5321  0.3868 
   00067    0.4500   -1355.5118  0.3785 
   00068    0.4675   -1361.6474  0.3640 
   00069    0.4975   -1355.4726  0.3616 
   00070    0.4100   -1361.9291  0.3521 
   00071    0.4775   -1354.8305  0.3387 
   00072    0.4750   -1367.6819  0.3270 
   00073    0.5050   -1375.6640  0.3271 
   00074    0.4425   -1376.2013  0.3351 
   00075    0.4675   -1371.8603  0.3300 
   00076    0.4300   -1374.4842  0.3189 
   00077    0.4675   -1391.8581  0.3294 
   00078    0.4250   -1388.8362  0.3254 
   00079    0.4900   -1373.0097  0.3183 
   00080    0.4425   -1380.7350  0.3226 
   00081    0.4500   -1375.6835  0.3143 
   00082    0.4400   -1363.8422  0.3013 
   00083    0.4575   -1367.0424  0.3062 
   00084    0.4750   -1366.7327  0.3138 
   00085    0.4225   -1359.8212  0.3198 
   00086    0.4725   -1357.3845  0.3140 
   00087    0.4625   -1372.2760  0.3226 
   00088    0.4175   -1370.2718  0.3278 
   00089    0.4725   -1364.0282  0.3159 
   00090    0.4450   -1357.9397  0.2988 
   00091    0.5100   -1373.4541  0.2903 
   00092    0.4650   -1364.6855  0.3026 
   00093    0.4350   -1374.3550  0.3146 
   00094    0.5175   -1372.7438  0.2954 
   00095    0.4200   -1371.2588  0.2989 
   00096    0.4975   -1371.0483  0.2949 
   00097    0.4375   -1380.9100  0.2963 
   00098    0.4400   -1375.6255  0.3102 
   00099    0.4675   -1386.0500  0.3104 
   00100    0.4575   -1390.4148  0.3056 
