#=====================================================
# File created:        Mon-28-Oct-2024-at-01-38-48PM
# Size of lattice:     40x40
# Number of MC steps:  100
# Reduced temperature: 0.660
# Run time (s):        2.924050
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1527.6857  0.2682 
   00001    0.6981   -2366.0245  0.2606 
   00002    0.6462   -2813.3474  0.2779 
   00003    0.5881   -3146.2368  0.2713 
   00004    0.5556   -3362.3982  0.2753 
   00005    0.5262   -3614.0452  0.3110 
   00006    0.4994   -3764.5342  0.3135 
   00007    0.5094   -3872.7435  0.3110 
   00008    0.5069   -4030.5004  0.3205 
   00009    0.4881   -4062.0557  0.3239 
   00010    0.4669   -4151.1408  0.3165 
   00011    0.4819   -4158.6234  0.3109 
   00012    0.4713   -4165.1924  0.3112 
   00013    0.4850   -4177.6988  0.3127 
   00014    0.4650   -4261.6169  0.3245 
   00015    0.4713   -4328.5125  0.3325 
   00016    0.4556   -4382.4707  0.3352 
   00017    0.4550   -4416.6972  0.3408 
   00018    0.4519   -4425.9425  0.3435 
   00019    0.4281   -4453.9561  0.3451 
   00020    0.4556   -4483.8662  0.3564 
   00021    0.4412   -4556.1583  0.3451 
   00022    0.4531   -4537.6058  0.3472 
   00023    0.4369   -4596.4121  0.3583 
   00024    0.4556   -4609.2646  0.3588 
   00025    0.4088   -4639.8668  0.3615 
   00026    0.4525   -4650.3136  0.3518 
   00027    0.4431   -4651.1245  0.3480 
   00028    0.4487   -4651.2212  0.3504 
   00029    0.4300   -4706.4634  0.3506 
   00030    0.4487   -4677.3964  0.3502 
   00031    0.4244   -4649.3346  0.3600 
   00032    0.4256   -4629.5680  0.3564 
   00033    0.4381   -4663.3062  0.3532 
   00034    0.4294   -4656.8385  0.3602 
   00035    0.4119   -4689.5582  0.3672 
   00036    0.4487   -4724.2269  0.3587 
   00037    0.4419   -4677.2448  0.3610 
   00038    0.4494   -4682.1041  0.3536 
   00039    0.4225   -4673.4874  0.3507 
   00040    0.4494   -4698.3945  0.3498 
   00041    0.4319   -4719.9251  0.3562 
   00042    0.4150   -4740.0913  0.3530 
   00043    0.4206   -4677.5983  0.3496 
   00044    0.4331   -4669.7326  0.3550 
   00045    0.4469   -4700.7860  0.3491 
   00046    0.4094   -4719.5823  0.3574 
   00047    0.4181   -4735.1355  0.3599 
   00048    0.4100   -4753.1253  0.3551 
   00049    0.4175   -4756.0672  0.3582 
   00050    0.4206   -4804.1276  0.3694 
   00051    0.4069   -4764.0029  0.3712 
   00052    0.4225   -4783.6176  0.3622 
   00053    0.4306   -4743.1342  0.3664 
   00054    0.4269   -4715.2316  0.3638 
   00055    0.4263   -4728.1469  0.3569 
   00056    0.4338   -4777.0362  0.3507 
   00057    0.4006   -4849.1520  0.3579 
   00058    0.4150   -4836.5809  0.3409 
   00059    0.4331   -4863.4338  0.3307 
   00060    0.4225   -4870.4782  0.3371 
   00061    0.4163   -4887.0114  0.3349 
   00062    0.4163   -4849.2347  0.3263 
   00063    0.4062   -4813.1817  0.3300 
   00064    0.4175   -4862.2359  0.3286 
   00065    0.4181   -4848.8289  0.3193 
   00066    0.4244   -4922.7590  0.3255 
   00067    0.4300   -4878.9678  0.3311 
   00068    0.4100   -4862.5778  0.3347 
   00069    0.4281   -4857.1162  0.3311 
   00070    0.4025   -4902.1528  0.3270 
   00071    0.3994   -4880.7506  0.3320 
   00072    0.4200   -4865.8089  0.3402 
   00073    0.4113   -4916.0337  0.3387 
   00074    0.4150   -4899.9978  0.3439 
   00075    0.4031   -4910.9512  0.3356 
   00076    0.4244   -4898.9871  0.3409 
   00077    0.4231   -4906.8126  0.3402 
   00078    0.4238   -4938.3990  0.3417 
   00079    0.4050   -4921.3366  0.3429 
   00080    0.4144   -4921.0440  0.3401 
   00081    0.4075   -4963.4999  0.3550 
   00082    0.4100   -4960.5964  0.3651 
   00083    0.4469   -4967.4058  0.3611 
   00084    0.4106   -4986.6555  0.3600 
   00085    0.4113   -4909.4081  0.3606 
   00086    0.4119   -4908.8188  0.3605 
   00087    0.4219   -4903.2198  0.3515 
   00088    0.4138   -4945.5575  0.3601 
   00089    0.4012   -4903.7280  0.3587 
   00090    0.4081   -4925.0396  0.3656 
   00091    0.4106   -4897.2253  0.3674 
   00092    0.4088   -4898.0143  0.3673 
   00093    0.4200   -4923.8818  0.3630 
   00094    0.4138   -4926.2743  0.3767 
   00095    0.4313   -4869.5846  0.3723 
   00096    0.4000   -4870.8117  0.3635 
   00097    0.4281   -4950.7044  0.3658 
   00098    0.4031   -4946.2379  0.3705 
   00099    0.4144   -4951.7982  0.3757 
   00100    0.4088   -4929.3115  0.3676 
