#=====================================================
# File created:        Mon-28-Oct-2024-at-01-38-36PM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.330
# Run time (s):        0.707782
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -410.3161  0.2693 
   00001    0.6750    -584.8860  0.2832 
   00002    0.6425    -690.5910  0.2670 
   00003    0.6125    -770.9299  0.2664 
   00004    0.5950    -876.3555  0.2603 
   00005    0.6025    -964.0041  0.2575 
   00006    0.5275    -989.7584  0.2620 
   00007    0.5675   -1053.5220  0.2785 
   00008    0.5575   -1095.1202  0.2789 
   00009    0.5525   -1122.0522  0.2893 
   00010    0.5125   -1138.1575  0.2834 
   00011    0.5200   -1154.6264  0.2852 
   00012    0.4725   -1179.8544  0.2957 
   00013    0.4975   -1214.3954  0.2871 
   00014    0.5075   -1231.8372  0.2921 
   00015    0.5225   -1244.7714  0.3006 
   00016    0.4550   -1252.6303  0.2969 
   00017    0.4425   -1278.0128  0.3070 
   00018    0.5200   -1288.2615  0.3237 
   00019    0.4750   -1289.5856  0.3113 
   00020    0.4325   -1303.2733  0.3208 
   00021    0.4725   -1310.0137  0.3195 
   00022    0.4225   -1311.2762  0.3179 
   00023    0.4725   -1322.0564  0.3424 
   00024    0.4925   -1329.1183  0.3491 
   00025    0.4300   -1322.9603  0.3464 
   00026    0.4650   -1332.2732  0.3642 
   00027    0.4500   -1341.5841  0.3621 
   00028    0.4400   -1352.0000  0.3744 
   00029    0.4575   -1359.8811  0.3802 
   00030    0.4750   -1368.2496  0.3889 
   00031    0.4425   -1369.1613  0.3915 
   00032    0.4425   -1362.3778  0.3942 
   00033    0.4125   -1359.4026  0.3906 
   00034    0.4500   -1361.3283  0.3994 
   00035    0.4550   -1348.5781  0.3992 
   00036    0.4250   -1346.4745  0.4071 
   00037    0.4400   -1355.3780  0.4030 
   00038    0.4600   -1344.8700  0.4073 
   00039    0.4375   -1345.1224  0.4036 
   00040    0.4525   -1361.8662  0.4070 
   00041    0.4575   -1363.6592  0.4147 
   00042    0.4675   -1358.1567  0.4218 
   00043    0.4875   -1368.1775  0.4240 
   00044    0.4775   -1381.7028  0.4286 
   00045    0.4500   -1369.5806  0.4386 
   00046    0.4625   -1372.9788  0.4484 
   00047    0.4750   -1377.0890  0.4450 
   00048    0.4650   -1383.4196  0.4474 
   00049    0.4275   -1386.0997  0.4307 
   00050    0.4600   -1381.5157  0.4431 
   00051    0.4450   -1392.6708  0.4442 
   00052    0.4400   -1389.0315  0.4524 
   00053    0.4500   -1398.5929  0.4612 
   00054    0.4375   -1396.8421  0.4614 
   00055    0.4425   -1391.9346  0.4716 
   00056    0.4600   -1383.2672  0.4591 
   00057    0.4400   -1383.5547  0.4756 
   00058    0.4100   -1385.1283  0.4653 
   00059    0.4600   -1391.0102  0.4786 
   00060    0.4425   -1391.9584  0.4788 
   00061    0.4350   -1380.9872  0.4816 
   00062    0.4325   -1383.4411  0.4657 
   00063    0.4375   -1386.0218  0.4695 
   00064    0.4700   -1386.9471  0.4784 
   00065    0.4550   -1392.0506  0.4811 
   00066    0.4125   -1391.6076  0.4636 
   00067    0.4650   -1393.4199  0.4587 
   00068    0.5000   -1384.8386  0.4660 
   00069    0.4500   -1376.9816  0.4639 
   00070    0.3850   -1391.0881  0.4724 
   00071    0.4625   -1401.2875  0.4766 
   00072    0.4200   -1402.9595  0.4786 
   00073    0.4875   -1409.1754  0.4825 
   00074    0.4300   -1398.4687  0.4919 
   00075    0.4525   -1393.3036  0.4833 
   00076    0.4850   -1393.6586  0.4656 
   00077    0.4575   -1404.6267  0.4553 
   00078    0.4550   -1392.3165  0.4707 
   00079    0.4350   -1396.0316  0.4661 
   00080    0.4775   -1393.8525  0.4626 
   00081    0.4475   -1400.8720  0.4615 
   00082    0.4350   -1392.5571  0.4520 
   00083    0.4275   -1396.0476  0.4524 
   00084    0.4600   -1395.3280  0.4544 
   00085    0.4300   -1408.4352  0.4670 
   00086    0.5200   -1394.7096  0.4621 
   00087    0.4475   -1392.2415  0.4721 
   00088    0.4350   -1396.6107  0.4842 
   00089    0.4475   -1405.4426  0.4800 
   00090    0.4475   -1400.5888  0.4801 
   00091    0.3925   -1398.9869  0.4819 
   00092    0.4325   -1385.6103  0.4774 
   00093    0.4450   -1398.8684  0.4818 
   00094    0.4175   -1401.6232  0.4832 
   00095    0.5025   -1398.2386  0.4733 
   00096    0.4350   -1397.0363  0.4740 
   00097    0.4750   -1395.6280  0.4683 
   00098    0.4400   -1413.5071  0.4725 
   00099    0.4575   -1418.8344  0.4867 
   00100    0.4425   -1426.9659  0.4877 
