#=====================================================
# File created:        Mon-28-Oct-2024-at-01-30-02PM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.330
# Run time (s):        1.343676
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -437.3477  0.3037 
   00001    0.7025    -581.6256  0.2906 
   00002    0.6425    -690.1797  0.3064 
   00003    0.5700    -775.9481  0.2888 
   00004    0.6250    -846.9252  0.2776 
   00005    0.5700    -918.7994  0.2733 
   00006    0.5550    -952.5684  0.2710 
   00007    0.5325    -992.8400  0.2578 
   00008    0.5175   -1023.1383  0.2556 
   00009    0.5125   -1054.9079  0.2589 
   00010    0.5325   -1081.4165  0.2740 
   00011    0.5050   -1093.5970  0.2968 
   00012    0.5250   -1102.5694  0.3079 
   00013    0.5325   -1128.7380  0.3008 
   00014    0.5075   -1148.8455  0.3099 
   00015    0.5150   -1173.4055  0.3219 
   00016    0.4575   -1167.9050  0.3306 
   00017    0.4675   -1189.3913  0.3387 
   00018    0.5375   -1217.2561  0.3397 
   00019    0.4975   -1233.5887  0.3531 
   00020    0.5025   -1243.5797  0.3619 
   00021    0.5125   -1267.5486  0.3745 
   00022    0.4750   -1274.0729  0.3855 
   00023    0.4600   -1286.0584  0.3948 
   00024    0.4575   -1290.0904  0.3836 
   00025    0.4400   -1292.7882  0.3684 
   00026    0.4325   -1291.4818  0.3562 
   00027    0.4375   -1286.4599  0.3531 
   00028    0.4675   -1284.0265  0.3511 
   00029    0.4650   -1285.9862  0.3389 
   00030    0.5100   -1295.2383  0.3481 
   00031    0.4700   -1295.2367  0.3454 
   00032    0.4725   -1303.0580  0.3547 
   00033    0.4400   -1305.8799  0.3624 
   00034    0.5300   -1315.5916  0.3650 
   00035    0.4750   -1326.2077  0.3714 
   00036    0.4575   -1335.9721  0.3721 
   00037    0.4800   -1341.7546  0.3871 
   00038    0.4925   -1352.9441  0.3895 
   00039    0.4575   -1350.6348  0.3923 
   00040    0.4400   -1356.0812  0.3921 
   00041    0.4125   -1362.2887  0.3927 
   00042    0.4300   -1354.8247  0.3895 
   00043    0.4625   -1345.0294  0.4121 
   00044    0.4750   -1361.1787  0.4175 
   00045    0.4300   -1367.6400  0.4297 
   00046    0.4425   -1371.8458  0.4315 
   00047    0.4400   -1366.4625  0.4219 
   00048    0.4475   -1369.2182  0.4135 
   00049    0.4850   -1370.8802  0.4353 
   00050    0.4325   -1376.2858  0.4294 
   00051    0.4550   -1380.2944  0.4380 
   00052    0.4575   -1384.8141  0.4441 
   00053    0.4500   -1379.3413  0.4457 
   00054    0.4050   -1390.1869  0.4345 
   00055    0.4250   -1389.4112  0.4384 
   00056    0.4800   -1375.3700  0.4414 
   00057    0.4625   -1370.5626  0.4327 
   00058    0.4450   -1370.8443  0.4310 
   00059    0.4850   -1367.0035  0.4311 
   00060    0.4525   -1368.0772  0.4250 
   00061    0.4675   -1377.6769  0.4353 
   00062    0.4375   -1380.5951  0.4314 
   00063    0.4125   -1377.2100  0.4380 
   00064    0.4525   -1373.9482  0.4585 
   00065    0.4425   -1366.9949  0.4465 
   00066    0.4775   -1368.1808  0.4485 
   00067    0.4300   -1377.1504  0.4376 
   00068    0.4550   -1371.7282  0.4312 
   00069    0.4775   -1374.2344  0.4261 
   00070    0.4375   -1366.6664  0.4197 
   00071    0.4550   -1376.0210  0.4158 
   00072    0.4475   -1379.0656  0.4059 
   00073    0.4400   -1370.9919  0.4079 
   00074    0.4850   -1383.5855  0.4161 
   00075    0.4500   -1383.2360  0.4121 
   00076    0.4800   -1381.9553  0.4154 
   00077    0.4375   -1389.0770  0.4197 
   00078    0.4400   -1396.8555  0.4310 
   00079    0.4850   -1391.4078  0.4457 
   00080    0.4500   -1395.4411  0.4576 
   00081    0.4350   -1391.5614  0.4508 
   00082    0.4800   -1395.9064  0.4548 
   00083    0.4875   -1382.8641  0.4594 
   00084    0.4475   -1379.0221  0.4491 
   00085    0.4700   -1384.0501  0.4381 
   00086    0.4550   -1388.7743  0.4391 
   00087    0.4050   -1394.5092  0.4290 
   00088    0.4900   -1393.9742  0.4365 
   00089    0.4275   -1406.4153  0.4419 
   00090    0.4675   -1392.7871  0.4423 
   00091    0.4525   -1391.0611  0.4383 
   00092    0.4350   -1382.3337  0.4407 
   00093    0.4800   -1382.0445  0.4570 
   00094    0.4200   -1371.1602  0.4457 
   00095    0.4550   -1363.9280  0.4528 
   00096    0.4925   -1364.8526  0.4616 
   00097    0.4675   -1364.1710  0.4607 
   00098    0.4475   -1365.2478  0.4614 
   00099    0.4075   -1369.0160  0.4610 
   00100    0.4250   -1360.2855  0.4622 
