#=====================================================
# File created:        Mon-28-Oct-2024-at-01-43-20PM
# Size of lattice:     60x60
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        1.015803
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3513.6517  0.2556 
   00001    0.6947   -5460.1844  0.2747 
   00002    0.6092   -6326.7322  0.2927 
   00003    0.5889   -6739.0195  0.2815 
   00004    0.5686   -7015.1331  0.2842 
   00005    0.5603   -7237.3728  0.3000 
   00006    0.5547   -7483.1923  0.2883 
   00007    0.5375   -7745.1654  0.2921 
   00008    0.5267   -7875.2141  0.3050 
   00009    0.5189   -8002.7459  0.3051 
   00010    0.5061   -7953.2285  0.3095 
   00011    0.5111   -8110.0442  0.3149 
   00012    0.5172   -8054.5974  0.3218 
   00013    0.5256   -8136.6147  0.3200 
   00014    0.5133   -8227.1385  0.3161 
   00015    0.5211   -8226.0604  0.3129 
   00016    0.4925   -8241.9184  0.3093 
   00017    0.5017   -8328.9164  0.3081 
   00018    0.5025   -8458.5619  0.3070 
   00019    0.4958   -8440.1822  0.2983 
   00020    0.4919   -8348.1661  0.3094 
   00021    0.4981   -8321.4521  0.3037 
   00022    0.5117   -8349.6381  0.2948 
   00023    0.4944   -8378.0878  0.3085 
   00024    0.5042   -8365.7357  0.2993 
   00025    0.5097   -8388.3770  0.2985 
   00026    0.4950   -8436.8388  0.2896 
   00027    0.4947   -8395.8305  0.2838 
   00028    0.5081   -8515.5527  0.2806 
   00029    0.5036   -8482.4548  0.2883 
   00030    0.4772   -8500.5595  0.2878 
   00031    0.5050   -8284.5069  0.2784 
   00032    0.4864   -8342.0222  0.2830 
   00033    0.4953   -8307.3653  0.2778 
   00034    0.4975   -8252.3853  0.2873 
   00035    0.5128   -8225.1497  0.2832 
   00036    0.4983   -8294.2051  0.2871 
   00037    0.5167   -8356.8639  0.2810 
   00038    0.5128   -8306.7011  0.2746 
   00039    0.5136   -8295.1130  0.2831 
   00040    0.4933   -8331.9441  0.2790 
   00041    0.5117   -8346.9483  0.2629 
   00042    0.4961   -8382.1050  0.2632 
   00043    0.5239   -8331.8481  0.2639 
   00044    0.5117   -8455.4880  0.2605 
   00045    0.5086   -8316.2695  0.2656 
   00046    0.5139   -8414.7963  0.2646 
   00047    0.5083   -8381.5206  0.2724 
   00048    0.5036   -8475.6406  0.2713 
   00049    0.5072   -8459.1866  0.2695 
   00050    0.4992   -8532.9931  0.2754 
   00051    0.4947   -8406.4214  0.2667 
   00052    0.5164   -8425.5779  0.2775 
   00053    0.4928   -8392.1951  0.2728 
   00054    0.5169   -8331.5333  0.2681 
   00055    0.5181   -8312.1582  0.2633 
   00056    0.4875   -8368.5110  0.2686 
   00057    0.5125   -8353.7126  0.2699 
   00058    0.5186   -8403.4846  0.2637 
   00059    0.4944   -8416.1546  0.2618 
   00060    0.5058   -8306.8581  0.2660 
   00061    0.4947   -8367.1483  0.2696 
   00062    0.5022   -8380.1747  0.2712 
   00063    0.4956   -8351.4930  0.2734 
   00064    0.4975   -8355.3116  0.2728 
   00065    0.4933   -8415.3802  0.2757 
   00066    0.5014   -8418.9326  0.2776 
   00067    0.4922   -8401.8772  0.2691 
   00068    0.4919   -8436.8823  0.2795 
   00069    0.4944   -8505.9483  0.2813 
   00070    0.4975   -8492.9291  0.2877 
   00071    0.4947   -8444.4632  0.2878 
   00072    0.4886   -8364.5940  0.2900 
   00073    0.4861   -8475.9319  0.2834 
   00074    0.5036   -8475.2461  0.2770 
   00075    0.4992   -8555.0816  0.2761 
   00076    0.4972   -8507.7853  0.2736 
   00077    0.4917   -8462.3146  0.2771 
   00078    0.4875   -8432.9613  0.2712 
   00079    0.5203   -8338.7194  0.2674 
   00080    0.5078   -8380.7007  0.2699 
   00081    0.4969   -8440.0236  0.2754 
   00082    0.5100   -8352.2463  0.2790 
   00083    0.5069   -8250.1802  0.2747 
   00084    0.5214   -8240.0240  0.2841 
   00085    0.5167   -8352.8954  0.2859 
   00086    0.4803   -8385.3378  0.2857 
   00087    0.5047   -8322.3266  0.2839 
   00088    0.5103   -8424.2006  0.2891 
   00089    0.5064   -8432.2617  0.2916 
   00090    0.5025   -8518.6723  0.2862 
   00091    0.4942   -8523.9935  0.2880 
   00092    0.4819   -8540.1802  0.2967 
   00093    0.4947   -8469.5217  0.2891 
   00094    0.4867   -8353.7829  0.2909 
   00095    0.5067   -8414.8294  0.2949 
   00096    0.4958   -8436.4058  0.2997 
   00097    0.5058   -8453.3458  0.3032 
   00098    0.4747   -8359.5003  0.2914 
   00099    0.4969   -8203.2243  0.2782 
   00100    0.5056   -8233.7230  0.2671 
