#=====================================================
# File created:        Mon-28-Oct-2024-at-01-32-37PM
# Size of lattice:     60x60
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        11.799965
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3558.1888  0.2625 
   00001    0.7006   -5300.9795  0.2562 
   00002    0.6328   -6194.6195  0.2511 
   00003    0.5722   -6773.0062  0.2655 
   00004    0.5667   -7164.9266  0.2787 
   00005    0.5575   -7485.3521  0.2758 
   00006    0.5489   -7623.0512  0.2854 
   00007    0.5489   -7695.5609  0.2849 
   00008    0.5242   -7911.8600  0.2830 
   00009    0.5039   -8016.6110  0.2802 
   00010    0.5147   -8104.0638  0.2734 
   00011    0.5211   -8149.0676  0.2721 
   00012    0.5058   -8159.8427  0.2771 
   00013    0.5169   -8165.6812  0.2740 
   00014    0.4978   -8142.2776  0.2698 
   00015    0.4925   -8205.0297  0.2639 
   00016    0.5122   -8190.2504  0.2723 
   00017    0.5169   -8230.9250  0.2720 
   00018    0.4897   -8279.4315  0.2764 
   00019    0.4914   -8359.0241  0.2749 
   00020    0.4697   -8410.3797  0.2780 
   00021    0.4975   -8401.1989  0.2830 
   00022    0.5175   -8289.6451  0.2704 
   00023    0.5014   -8230.5154  0.2677 
   00024    0.5178   -8301.6808  0.2636 
   00025    0.5058   -8336.2842  0.2598 
   00026    0.4967   -8229.6421  0.2655 
   00027    0.5231   -8284.8604  0.2636 
   00028    0.5042   -8342.5771  0.2675 
   00029    0.5206   -8485.0454  0.2666 
   00030    0.5214   -8376.2801  0.2651 
   00031    0.5119   -8322.2675  0.2670 
   00032    0.5019   -8359.9779  0.2709 
   00033    0.4875   -8269.5515  0.2678 
   00034    0.5056   -8226.3924  0.2726 
   00035    0.5114   -8337.1474  0.2795 
   00036    0.4981   -8331.5079  0.2845 
   00037    0.5067   -8485.0213  0.2876 
   00038    0.5000   -8591.3822  0.2822 
   00039    0.4822   -8701.5011  0.2848 
   00040    0.4953   -8633.0374  0.2847 
   00041    0.4969   -8563.3649  0.2746 
   00042    0.4881   -8579.6348  0.2814 
   00043    0.4911   -8570.0727  0.2878 
   00044    0.4994   -8446.9289  0.2770 
   00045    0.4867   -8301.5379  0.2690 
   00046    0.5064   -8350.7250  0.2731 
   00047    0.5003   -8390.7686  0.2861 
   00048    0.4886   -8546.4786  0.2810 
   00049    0.4914   -8537.3389  0.2848 
   00050    0.4992   -8571.2864  0.2798 
   00051    0.4886   -8550.8363  0.2791 
   00052    0.4875   -8625.0169  0.2754 
   00053    0.4925   -8500.0237  0.2761 
   00054    0.5006   -8555.5353  0.2886 
   00055    0.4922   -8520.8513  0.2779 
   00056    0.4881   -8563.6953  0.2780 
   00057    0.4892   -8533.7550  0.2787 
   00058    0.4875   -8593.8167  0.2810 
   00059    0.4914   -8478.4618  0.2781 
   00060    0.4947   -8363.4956  0.2731 
   00061    0.4942   -8459.1329  0.2719 
   00062    0.5069   -8319.0239  0.2686 
   00063    0.5042   -8210.1789  0.2659 
   00064    0.5097   -8230.5301  0.2656 
   00065    0.4997   -8281.4380  0.2806 
   00066    0.4986   -8250.4641  0.2761 
   00067    0.4969   -8322.3649  0.2841 
   00068    0.5106   -8272.7012  0.2957 
   00069    0.5053   -8243.3178  0.2980 
   00070    0.5039   -8226.1168  0.2925 
   00071    0.4900   -8402.5860  0.2856 
   00072    0.5019   -8369.0055  0.2853 
   00073    0.5017   -8472.2688  0.2706 
   00074    0.4850   -8487.4037  0.2584 
   00075    0.4753   -8455.8590  0.2628 
   00076    0.5000   -8475.1630  0.2709 
   00077    0.4972   -8495.5286  0.2637 
   00078    0.4728   -8527.2421  0.2691 
   00079    0.4708   -8600.3932  0.2662 
   00080    0.5042   -8609.3942  0.2542 
   00081    0.4647   -8495.5736  0.2634 
   00082    0.5006   -8607.0877  0.2588 
   00083    0.4950   -8537.4735  0.2520 
   00084    0.4942   -8623.1152  0.2556 
   00085    0.5003   -8489.3121  0.2648 
   00086    0.4992   -8511.1228  0.2812 
   00087    0.4942   -8598.2370  0.2896 
   00088    0.4936   -8558.0160  0.2973 
   00089    0.5042   -8553.6469  0.3110 
   00090    0.5056   -8431.5132  0.3081 
   00091    0.4872   -8469.1293  0.3158 
   00092    0.4933   -8536.5534  0.3139 
   00093    0.4953   -8487.5433  0.3091 
   00094    0.4897   -8519.1337  0.3075 
   00095    0.4864   -8472.3690  0.3005 
   00096    0.4919   -8546.5636  0.2935 
   00097    0.4861   -8512.0139  0.2966 
   00098    0.5092   -8554.2956  0.2969 
   00099    0.4778   -8581.1891  0.2943 
   00100    0.4947   -8495.0729  0.2842 
